,Unnamed: 0,Title,Document Name,Parties,Agreement Date,Effective Date,Expiration Date,Renewal Term,Notice to Terminate Renewal,Governing Law,Most Favored Nation,Non-Compete,Exclusivity,No-Solicit of Customers,Competitive Restriction Exception,No-Solicit of Employees,Non-Disparagement,Termination for Convenience,"Right of First Refusal, Offer or Negotiation (ROFR/ROFO/ROFN)",Change of Control,Anti-Assignment,Revenue/Profit Sharing,Price Restriction,Minimum Commitment,Volume Restriction,IP Ownership Assignment,Joint IP Ownership,License Grant,Non-Transferable License,Affiliate IP License-Licensor,Affiliate IP License-Licensee,Unlimited/All-You-Can-Eat License,Irrevocable or Perpetual License,Source Code Escrow,Post-Termination Services,Audit Rights,Uncapped Liability,Cap on Liability,Liquidated Damages,Warranty Duration,Insurance,Covenant Not to Sue,Third Party Beneficiary
0,0,LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,0.011817890219390392,0.017901787534356117,0.19043533504009247,0.02035057730972767,0.008276225998997688,0.05038484930992127,0.02364250086247921,0.027907080948352814,0.21141952276229856,0.012069144286215305,0.3232342004776001,0.002927057910710573,0.007410924881696702,0.05456968396902085,0.02676958590745926,0.2527638077735901,0.2860148251056671,0.06840918958187102,0.023248909041285515,0.11283241957426073,0.04388125240802765,0.0070857093669474125,0.014702945947647096,0.0070050829090178,0.03691425174474716,0.034742549061775214,0.10860229283571243,0.004432234447449446,0.023012582212686542,0.14951761066913605,0.10068856924772264,0.06423626840114594,0.027569716796278957,0.03528288006782532,0.04994438588619232,0.008354899473488329,0.1182072088122368,0.2909439206123352,0.0707181915640831,0.001341474708169699,0.04484021663665772
1,1,"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT",0.06179022416472435,0.015850374475121498,0.02257252670824528,0.02122186310589313,0.03207899257540703,0.1392574906349182,0.004276454914361239,0.02132007852196693,0.04536228254437447,0.15412381291389465,0.4286649227142334,0.0019099983619526026,0.0018713928293436766,0.08030080050230026,0.04611394926905632,0.014487667940557003,0.09042800962924956,0.03148792311549187,0.026258628815412518,0.27692219614982605,0.0179982241243124,0.01598749682307243,0.07842706888914107,0.01648598536849022,0.061478730291128166,0.08277271687984468,0.2939523458480835,0.012791800312697887,0.1691730171442032,0.05770501494407654,0.06344094127416611,0.059528917074203484,0.04724070429801941,0.0887971818447113,0.16366907954216006,0.02093794196844101,0.1989452987909317,0.438637375831604,0.061909705400466926,0.0011628810316324234,0.09953160583972932
2,2,LohaCompanyltd_20191209_F-1_EX-10.16_11917878_EX-10.16_Supply Agreement,0.001452184864319861,0.2834957838058472,0.003819280071184039,0.28414830565452576,0.09985139966011047,0.3961934447288513,0.1195022240281105,0.10042467713356018,0.5480564236640929,0.14661513268947599,0.15581610798835754,0.020608365535736084,0.04389984905719757,0.1796702891588211,0.006077344994992018,0.15240462124347687,0.5022451877593994,0.16830594837665558,0.0022150282748043537,0.2970171868801117,0.4385510981082916,0.3159896433353424,0.3851107954978943,0.0020352059509605174,0.000149904954014346,0.1992911994457245,0.02144387364387512,0.0017458508955314755,0.3180907070636749,0.07563573867082596,0.008856051601469517,0.0424509271979332,0.09727182984352112,0.3812931776046753,0.3498217761516571,0.10779833793640137,0.02298921905457973,0.21388022601604464,0.16680794954299927,0.04956580698490143,0.31082817912101746
3,3,CENTRACKINTERNATIONALINC_10_29_1999-EX-10.3-WEB SITE HOSTING AGREEMENT,0.06964558362960815,0.1378576010465622,0.0854211375117302,0.17594392597675326,0.014433370903134346,0.018741317093372345,0.0006436104886233808,0.002490946790203452,0.00035842714714817703,0.0035453843884170047,0.024200936779379845,0.006740037351846695,0.007168723735958338,0.02726065181195736,0.14613325893878934,0.0007395791471935809,0.0011991580249741671,0.029805637896060944,0.0839640200138092,0.0008379286737181246,0.001009983359836042,0.0013073929585516453,0.002103262348100543,0.02532202750444412,0.01604868471622467,0.003571718232706189,0.0388723760843277,0.023948688060045242,0.0031230763997882605,0.041435550898313515,0.05975789204239845,0.1173434555530548,0.058031186461448676,0.0035225949250161648,0.2210627943277359,0.021309200674295425,0.03187846392393112,0.002953989198431373,0.011099317111074923,0.002091875532642007,0.0046901507303118714
4,4,NELNETINC_04_08_2020-EX-1-JOINT FILING AGREEMENT,1.6756117474869825e-05,2.4382336050621234e-05,1.3864537322660906e-05,2.5977456971304488e-05,0.3178847432136536,9.882166341412812e-05,0.0011359372874721885,0.0013246742310002446,8.141816942952573e-05,0.00025228905724361544,1.8262475350638848e-05,4.465896199690178e-05,1.055268421623623e-05,0.00027358095394447446,0.0003554265131242573,0.0003238283970858902,0.00014577418914996088,6.409535853890702e-05,0.0004986438434571029,0.00013110460713505745,0.00029621977591887116,0.00035960896639153367,0.00015967088984325528,0.00028787303017452365,0.00017327068781014532,0.0018301376840099688,0.0008643344626761973,0.0004423177160788328,0.00032950774766504765,0.0001289264182560146,0.0004314377729315311,0.0003268650034442544,0.00028667916194535786,0.0003221758524887264,0.00032434283639304334,0.00011119860573671758,0.0005969790508970617,0.0002445154241286218,0.0006237722700461745,0.00022191647440195084,0.0002636408025864512
5,5,ADAMSGOLFINC_03_21_2005-EX-10.17-ENDORSEMENT AGREEMENT,0.00013208000746089962,0.00017748020763974637,0.0225127674639225,6.257141649257393e-05,0.003939447924494743,0.17296425998210907,0.00914464984089136,0.0076431077904999265,0.00011670319508994,0.0013017694000154734,0.0008051740587688982,0.030281007289886475,0.00025046846712939436,0.0004532843886408955,0.02317948825657368,0.014536509290337563,0.0005488647148013115,0.00010095167817780748,0.032009568065404885,0.0007356025162152946,0.0006482886965386571,0.00026227690977975726,0.02470496855676174,0.00026211174554191535,0.0037184902466833596,0.001952428952790797,0.0333465039730072,0.0005310501437634231,0.0015563962515443563,0.0008629544754512607,0.09992554038763046,0.0047861537896096715,0.0010440241312608123,0.04101404175162315,0.004098116420209408,0.0007411204278469086,0.009586097672581673,0.0015701907686889172,0.00047882087528705597,0.001099410466849804,0.0040053888224065295
6,6,"KIROMICBIOPHARMA,INC_05_11_2020-EX-10.23-CONSULTING AGREEMENT",0.06759356707334517,0.031902596354484565,0.004454618785530329,0.03736812621355057,0.011905406601727007,0.014286148361861706,0.0006589395925402641,0.001019948278553784,0.0008938051178120078,0.08853495121002197,0.011964433826506138,0.0030586770735681053,0.009982611052691936,0.0007774653495289384,0.01939830556511879,0.005329723935574293,0.0004843012138735503,0.10226131975650787,0.023742055520415303,0.030020758509635925,0.030437303707003593,0.007681989576667547,0.007980898022651672,0.002494533080607653,0.02306632325053215,0.05024412274360657,0.01397379208356142,0.00180036760866642,0.05832570046186448,0.0009969295933842661,0.00151031743735075,0.0008129809284582733,0.002617271384224296,0.013741176575422287,0.01392453070729971,0.026110805571079254,0.0013710461789742114,0.027261458337306976,0.07593604177236557,0.004595777951180935,0.0636506974697113
7,7,"VEONEER,INC_02_21_2020-EX-10.11-JOINT VENTURE AGREEMENT",6.480267620645462e-05,0.0002630928356666118,7.027159881545231e-05,1.643519317440223e-05,0.1939333826303482,7.034227019175887e-05,0.05533425882458687,0.06377298384904861,0.0001906046672957018,5.9362337196944275e-05,0.0031638846267014738,0.00042870413744822155,0.0002379914076300338,0.00014153767551761118,0.1115204095840454,9.659517672844232e-05,0.0003270911693107337,0.18099713325500488,0.0840323343873024,0.00022807082859799263,0.00011477991938591003,0.0004229533369652927,2.8453610866563398e-05,0.00040719014941714704,0.0001590981119079515,0.011136126704514028,8.036260987864807e-05,0.0004006540984846652,0.014704719185829163,0.00117797520942986,5.277589662000537e-05,6.396691605914384e-05,0.0002842631365638226,2.6939640520140532e-05,0.000806228315923363,0.002981412224471569,0.0112975649535656,0.0005364232929423451,0.053896304219961166,0.01600537821650505,0.03874171525239945
8,8,DovaPharmaceuticalsInc_20181108_10-Q_EX-10.2_11414857_EX-10.2_Promotion Agreement,0.029075700789690018,0.06736576557159424,0.005585684906691314,0.003178171580657363,0.20153145492076874,0.008449529297649859,0.010964469984173776,0.012804516591131687,0.006454836577177048,0.2652744650840759,0.5413863062858582,0.008016090840101242,0.00972579326480627,0.15527398884296414,0.046240922063589096,0.06574573367834091,0.0402587465941906,0.12897075712680814,0.2438412457704544,0.010857298970222471,0.08973585069179535,0.011012240312993526,0.01846313662827015,0.016061043366789818,0.00769305182620883,0.010429620742797852,0.030002553015947345,0.012351188808679579,0.002957914024591446,0.10948403179645537,0.008726167492568493,0.4030942320823669,0.2563107013702393,0.05826603621244431,0.1837283819913864,0.03347788006067276,0.05863938108086586,0.00541076110675931,0.016294924542307854,0.004714163020253182,0.007235908880829811
9,9,"PACIRA PHARMACEUTICALS, INC. - A_R STRATEGIC LICENSING, DISTRIBUTION AND MARKETING AGREEMENT ",0.3495613932609558,0.015043593943119047,0.4375662505626679,0.014529023319482803,0.3221438527107239,0.7225164175033569,0.004575344733893871,0.012193851172924042,0.0014412276213988662,0.04386942088603973,0.6398121118545532,0.005655460059642793,0.017423275858163834,0.036551255732774734,0.4513984024524689,0.299068808555603,0.0022954330779612064,0.06910675764083862,0.4025544226169586,0.3322606086730957,0.8638756275177002,0.008750670589506626,0.675308108329773,0.3904704451560974,0.013142050243914127,0.022491384297609333,0.04232393205165863,0.4241790175437927,0.1822543740272522,0.2953704595565796,0.05146092176437378,0.3433257639408112,0.07282305508852005,0.6852375268936157,0.09994442015886308,0.021561648696660995,0.960449993610382,0.33296144008636475,0.2241695076227188,0.013010632246732712,0.08889305591583252
