,Title,Document Name,Parties,Agreement Date,Effective Date,Expiration Date,Renewal Term,Notice to Terminate Renewal,Governing Law,Most Favored Nation,Non-Compete,Exclusivity,No-Solicit of Customers,Competitive Restriction Exception,No-Solicit of Employees,Non-Disparagement,Termination for Convenience,"Right of First Refusal, Offer or Negotiation (ROFR/ROFO/ROFN)",Change of Control,Anti-Assignment,Revenue/Profit Sharing,Price Restriction,Minimum Commitment,Volume Restriction,IP Ownership Assignment,Joint IP Ownership,License Grant,Non-Transferable License,Affiliate IP License-Licensor,Affiliate IP License-Licensee,Unlimited/All-You-Can-Eat License,Irrevocable or Perpetual License,Source Code Escrow,Post-Termination Services,Audit Rights,Uncapped Liability,Cap on Liability,Liquidated Damages,Warranty Duration,Insurance,Covenant Not to Sue,Third Party Beneficiary
0,ConformisInc_20191101_10-Q_EX-10.6_11861402_EX-10.6_Development Agreement,0.02006659470498562,0.022548092529177666,0.03969726338982582,0.011739683337509632,0.3248073160648346,0.19382022321224213,0.05724339187145233,0.037934981286525726,0.004843250382691622,0.027363356202840805,0.09647814184427261,0.015430216677486897,0.014221474528312683,0.027916526421904564,0.11528407782316208,0.01231146976351738,0.02619512937963009,0.14336751401424408,0.11061769723892212,0.009869933128356934,0.1077941283583641,0.06119813397526741,0.09929987043142319,0.014839379116892815,0.022214407101273537,0.03450946509838104,0.1427367776632309,0.02519047260284424,0.013986154459416866,0.04335461184382439,0.08906252682209015,0.006010347977280617,0.01848716102540493,0.12111092358827591,0.06369338929653168,0.027971522882580757,0.008423679508268833,0.012001319788396358,0.02428649738430977,0.02850261889398098,0.25474047660827637
1,Principal Life Insurance Company - Broker Dealer Marketing and Servicing Agreement,0.06258574873209,0.06380587816238403,0.013129529543220997,0.09340761601924896,0.04993743821978569,0.28066486120224,0.05241290107369423,0.0523625910282135,0.001982105430215597,0.3935379981994629,0.07933562248945236,0.044272083789110184,0.02644037827849388,0.007887373678386211,0.06473861634731293,0.12969113886356354,0.004829612094908953,0.06907833367586136,0.03863625228404999,0.20553037524223328,0.2791081368923187,0.2051902860403061,0.14865288138389587,0.00457068020477891,0.07138757407665253,0.08809549361467361,0.05888190120458603,0.0034191866870969534,0.03732607141137123,0.011587414890527725,0.045872997492551804,0.04200433939695358,0.009092242456972599,0.12513072788715363,0.0731176808476448,0.14275583624839783,0.08733032643795013,0.21716342866420746,0.1003788411617279,0.04327761009335518,0.03422774747014046
2,LegacyEducationAllianceInc_20200330_10-K_EX-10.18_12090678_EX-10.18_Development Agreement,0.0014539968688040972,0.009774825535714626,0.023320497944951057,0.002771640894934535,0.005543909966945648,0.04186292365193367,0.026858817785978317,0.03170614689588547,0.0014630458317697048,0.015053249895572662,0.23849257826805115,0.0013902768259868026,0.0005203482578508556,0.0026656975969672203,0.01137884333729744,0.010449952445924282,0.004186542239040136,0.012003323063254356,0.01056834775954485,0.0013247763272374868,0.00482839485630393,0.005449992138892412,0.012914230115711689,0.10221352428197861,0.0013739452697336674,0.026811473071575165,0.02504834160208702,0.10560999810695648,0.026975637301802635,0.0013734421227127314,0.011808141134679317,0.03917479142546654,0.0031181734520941973,0.012757083401083946,0.01017777156084776,0.005392059218138456,0.017798060551285744,0.021322879940271378,0.009326392784714699,0.004914863035082817,0.025635328143835068
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,VERICELCORP_08_06_2019-EX-10.10-SUPPLY AGREEMENT,0.1522648185491562,0.049705058336257935,0.3641425371170044,0.03976276144385338,0.015526537783443928,0.05653134733438492,0.01880452409386635,0.011239626444876194,0.0017923121340572834,0.02575603500008583,0.06405609101057053,0.017107876017689705,0.029671063646674156,0.009607563726603985,0.003725106827914715,0.0009015961550176144,0.004760194569826126,0.07866864651441574,0.006373390089720488,0.006390468683093786,0.039295587688684464,0.030079292133450508,0.00888392049819231,0.021479731425642967,0.004829500801861286,0.05573119595646858,0.010579986497759819,0.029163988307118416,0.06357453763484955,0.0021059352438896894,0.003973788116127253,0.017397191375494003,0.015073965303599834,0.015183685347437859,0.026170819997787476,0.08925920724868774,0.0327608659863472,0.04532306641340256,0.035220272839069366,0.07936534285545349,0.07319102436304092
5,WPPPLC_04_30_2020-EX-4.28-SERVICE AGREEMENT,0.1283102035522461,0.00813490990549326,0.02501799538731575,0.014997179619967937,0.201900914311409,0.18691621720790863,0.07622916996479034,0.04149990901350975,0.09494102746248245,0.04670887440443039,0.12692046165466309,0.13173042237758636,0.2630856931209564,0.048569824546575546,0.015733627602458,0.21627886593341827,0.07516799867153168,0.23937919735908508,0.01685691438615322,0.033543750643730164,0.061891842633485794,0.013498556800186634,0.08434857428073883,0.08015774190425873,0.05959813669323921,0.26502323150634766,0.19326084852218628,0.03646746277809143,0.009012501686811447,0.09487749636173248,0.12483241409063339,0.031057948246598244,0.05575764179229736,0.09980830550193787,0.10739912837743759,0.3489764332771301,0.004307483788579702,0.055931225419044495,0.07310685515403748,0.12828218936920166,0.0066720410250127316
6,"WASTE2ENERGYHOLDINGS,INC_06_03_2010-EX-10.2-STRATEGIC ALLIANCE AGREEMENT",0.011407633312046528,0.03636442497372627,0.005465683061629534,0.018457865342497826,0.027895161882042885,0.0008929417817853391,0.03187232092022896,0.09445257484912872,0.001800678321160376,0.13181564211845398,0.013356192037463188,0.008886944502592087,0.002826766576617956,0.02653282694518566,0.0028480018954724073,0.0019804351031780243,0.005823312792927027,0.0018127700313925743,0.003069911850616336,0.005085618235170841,0.00990946777164936,0.014090667478740215,0.0013407986843958497,0.00779843470081687,0.003361909184604883,0.07521937787532806,0.020494762808084488,0.003356065135449171,0.013624390587210655,0.002858642255887389,0.03484947234392166,0.008928526192903519,0.010557958856225014,0.0014964286237955093,0.14871451258659363,0.021500607952475548,0.021276533603668213,0.005903717130422592,0.029880881309509277,0.003832064336165786,0.034311071038246155
7,WORLDWIDESTRATEGIESINC_11_02_2005-EX-10-RESELLER AGREEMENT,0.0797397792339325,0.004191505257040262,0.08580678701400757,0.0032141266856342554,0.04394225403666496,0.07703771442174911,0.00875082053244114,0.005367838311940432,0.1868540346622467,0.12780039012432098,0.2785717248916626,0.021916290745139122,0.025080181658267975,0.08654363453388214,0.07647749781608582,0.049163006246089935,0.26787692308425903,0.330711305141449,0.06233292073011398,0.12639860808849335,0.08070750534534454,0.1685020923614502,0.009914231486618519,0.05004497244954109,0.22111259400844574,0.14252129197120667,0.014437468722462654,0.053684916347265244,0.005474918056279421,0.0785583034157753,0.008689319714903831,0.10001514106988907,0.13126231729984283,0.010749533772468567,0.18246549367904663,0.17301875352859497,0.02687803842127323,0.159122034907341,0.21538066864013672,0.022828251123428345,0.04926946386694908
8,FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT_SECONDAMENDMENT,7.069093044265173e-06,0.00010034026490757242,6.900054813741008e-06,2.9632237783516757e-05,0.06636852771043777,0.003020794130861759,0.054214850068092346,0.07063799351453781,0.013794530183076859,9.199432679452002e-05,0.07927663624286652,0.0001297162816626951,0.00015254384197760373,0.000596914382185787,0.011172131635248661,0.0003487695357762277,0.018756307661533356,0.000815765408333391,0.012999891303479671,0.00022313164663501084,0.0015341491671279073,5.7913541240850464e-05,0.0003453739336691797,2.2300971977529116e-05,0.007089803460985422,0.02390749566257,0.010640188120305538,3.164277950418182e-05,4.1160397813655436e-05,9.40159043238964e-06,0.007908194325864315,0.00025682940031401813,0.0005228604422882199,0.0008664714987389743,0.0002698877069633454,3.0779799999436364e-05,8.058585990511347e-06,0.00033380999229848385,0.08417859673500061,1.2312771104916465e-05,7.559754885733128e-05
9,AzulSa_20170303_F-1A_EX-10.3_9943903_EX-10.3_Maintenance Agreement2,0.09809863567352295,0.17302554845809937,0.20054708421230316,0.13834136724472046,0.15793995559215546,0.24667160212993622,0.20694714784622192,0.2163543552160263,0.13134585320949554,0.13393475115299225,0.2962893843650818,0.0801883190870285,0.04640829935669899,0.050186287611722946,0.0872170627117157,0.2169686257839203,0.1958659440279007,0.19330713152885437,0.14440947771072388,0.2159796953201294,0.1956329196691513,0.14715994894504547,0.202872171998024,0.085398368537426,0.14547157287597656,0.5429555177688599,0.13644257187843323,0.0902344360947609,0.03974733501672745,0.04810246452689171,0.10021083801984787,0.10493538528680801,0.0971846878528595,0.20649057626724243,0.1317538172006607,0.1642458736896515,0.11453956365585327,0.32555916905403137,0.07147859781980515,0.1114543005824089,0.09460197389125824
